sku,product_type,attribute_set_code,product_websites,name,description,short_description,weight,product_online,categories,price,special_price,visibility,tax_class_name,manufacturer,color,meta_title,meta_keywords,meta_description,base_image,small_image,thumbnail_image,additional_images,swatch_image,qty,out_of_stock_qty,use_config_min_qty,is_qty_decimal,allow_backorders,use_config_backorders,min_cart_qty,use_config_min_sale_qty,max_cart_qty,use_config_max_sale_qty,is_in_stock,notify_on_stock_below,use_config_notify_stock_qty,manage_stock,use_config_manage_stock,use_config_qty_increments,qty_increments,use_config_enable_qty_inc,enable_qty_increments,is_decimal_divided,website_id,related_skus,crosssell_skus,upsell_skus,additional_attributes,url_key
HDP-1001,simple,Default,base,Heavy Duty Pneumatic Cylinder,High-performance pneumatic cylinder for industrial automation applications. Features precision-machined components for smooth operation and long service life. Includes mounting brackets and connection fittings.,Heavy-duty pneumatic cylinder for industrial automation,3.5,1,Industrial Parts/Pneumatic Components,189.99,175.99,"Catalog, Search",Taxable Goods,Parker,Silver,Heavy Duty Pneumatic Cylinder | Industrial Parts,"pneumatic cylinder, industrial automation, heavy duty",High-performance pneumatic cylinder with precision-machined components for industrial automation applications,https://raw.githubusercontent.com/slamech/commerce-sample-data/refs/heads/main/images/HDP-1001.jpg ,https://raw.githubusercontent.com/slamech/commerce-sample-data/refs/heads/main/images/HDP-1001.jpg ,https://raw.githubusercontent.com/slamech/commerce-sample-data/refs/heads/main/images/HDP-1001.jpg ,,https://raw.githubusercontent.com/slamech/commerce-sample-data/refs/heads/main/images/HDP-1001.jpg ,100,0,1,0,0,1,1,1,10000,1,1,1,1,1,1,1,1,1,0,0,0,,,,"max_pressure=150PSI,bore_diameter=2.5inches,stroke_length=10inches,mounting_type=universal",heavy-duty-pneumatic-cylinder
HEC-2002,simple,Default,base,High Efficiency Electric Motor,Industrial-grade electric motor with premium efficiency rating. Features copper windings and precision bearings for reduced energy consumption and extended operational life. Suitable for continuous operation environments.,Premium efficiency industrial electric motor,25.8,1,Industrial Parts/Electric Motors,349.99,329.99,"Catalog, Search",Taxable Goods,Siemens,Black,High Efficiency Electric Motor | Industrial Parts,"electric motor, high efficiency, industrial grade",Energy-efficient industrial electric motor with premium copper windings and precision bearings,https://raw.githubusercontent.com/slamech/commerce-sample-data/refs/heads/main/images/HEC-2002.jpg ,https://raw.githubusercontent.com/slamech/commerce-sample-data/refs/heads/main/images/HEC-2002.jpg ,https://raw.githubusercontent.com/slamech/commerce-sample-data/refs/heads/main/images/HEC-2002.jpg ,,https://raw.githubusercontent.com/slamech/commerce-sample-data/refs/heads/main/images/HEC-2002.jpg ,50,0,1,0,0,1,1,1,10000,1,1,1,1,1,1,1,1,1,0,0,0,,,,"horsepower=5HP,voltage=480V,phase=three,rpm=1750,efficiency_rating=premium,frame_size=184T",high-efficiency-electric-motor
PSV-3003,simple,Default,base,Precision Solenoid Valve,"Stainless steel solenoid valve designed for precise flow control in demanding industrial environments. Features low power consumption and fast response time. Compatible with various media including water, air, and light oils.",Precision solenoid valve for industrial flow control,0.85,1,Industrial Parts/Valves,112.5,99.99,"Catalog, Search",Taxable Goods,SMC,Silver,Precision Solenoid Valve | Industrial Parts,"solenoid valve, flow control, stainless steel",High-precision stainless steel solenoid valve for demanding industrial flow control applications,https://raw.githubusercontent.com/slamech/commerce-sample-data/refs/heads/main/images/PSV-3003.jpg ,https://raw.githubusercontent.com/slamech/commerce-sample-data/refs/heads/main/images/PSV-3003.jpg ,https://raw.githubusercontent.com/slamech/commerce-sample-data/refs/heads/main/images/PSV-3003.jpg ,,https://raw.githubusercontent.com/slamech/commerce-sample-data/refs/heads/main/images/PSV-3003.jpg ,120,0,1,0,0,1,1,1,10000,1,1,1,1,1,1,1,1,1,0,0,0,,,,"port_size=1/4inch,operating_pressure=0-145PSI,voltage=24VDC,media=air|water|oil,response_time=20ms",precision-solenoid-valve
ISS-4004,simple,Default,base,Industrial Safety Switch,Heavy-duty safety interlock switch for industrial machinery protection. Features reinforced housing and tamper-resistant design. Complies with international safety standards for machinery protection.,Safety interlock switch for industrial machinery,0.65,1,Industrial Parts/Safety Equipment,78.5,74.99,"Catalog, Search",Taxable Goods,Allen-Bradley,Yellow,Industrial Safety Switch | Safety Equipment,"safety switch, interlock, machinery protection",Heavy-duty safety interlock switch with tamper-resistant design for industrial machinery protection,https://raw.githubusercontent.com/slamech/commerce-sample-data/refs/heads/main/images/ISS-4004.jpg ,https://raw.githubusercontent.com/slamech/commerce-sample-data/refs/heads/main/images/ISS-4004.jpg ,https://raw.githubusercontent.com/slamech/commerce-sample-data/refs/heads/main/images/ISS-4004.jpg ,,https://raw.githubusercontent.com/slamech/commerce-sample-data/refs/heads/main/images/ISS-4004.jpg ,85,0,1,0,0,1,1,1,10000,1,1,1,1,1,1,1,1,1,0,0,0,,,,"switch_type=interlock,safety_rating=PLe,contacts=2NO+1NC,housing_material=reinforced_polymer,connection_type=M12",industrial-safety-switch
BPG-5005,simple,Default,base,Bearing Precision Gearbox,High-precision industrial gearbox with helical gearing for smooth power transmission. Features case-hardened steel construction and premium bearings for reduced backlash and noise. Ideal for automation and robotics applications.,High-precision gearbox for industrial automation,12.4,1,Industrial Parts/Power Transmission,459.99,429.99,"Catalog, Search",Taxable Goods,SEW-EURODRIVE,Gray,Bearing Precision Gearbox | Power Transmission,"gearbox, precision, industrial automation",High-precision industrial gearbox with helical gearing for smooth and accurate power transmission,https://raw.githubusercontent.com/slamech/commerce-sample-data/refs/heads/main/images/BPG-5005.jpg ,https://raw.githubusercontent.com/slamech/commerce-sample-data/refs/heads/main/images/BPG-5005.jpg ,https://raw.githubusercontent.com/slamech/commerce-sample-data/refs/heads/main/images/BPG-5005.jpg ,,https://raw.githubusercontent.com/slamech/commerce-sample-data/refs/heads/main/images/BPG-5005.jpg ,35,0,1,0,0,1,1,1,10000,1,1,1,1,1,1,1,1,1,0,0,0,,,,"ratio=10:1,backlash=<5arcmin,input_type=servo,output_type=keyed_shaft,lubrication=lifetime",bearing-precision-gearbox
HPC-6006,simple,Default,base,Hydraulic Pressure Control,Advanced hydraulic pressure control valve with proportional operation. Features digital control interface and precision-machined components for accurate pressure regulation. Suitable for integration with automated systems.,Advanced hydraulic proportional pressure control,3.2,1,Industrial Parts/Hydraulic Components,235.75,219.99,"Catalog, Search",Taxable Goods,Bosch Rexroth,Blue,Hydraulic Pressure Control | Hydraulic Components,"hydraulic, pressure control, proportional valve",Advanced hydraulic pressure control valve with digital interface for precise pressure regulation,https://raw.githubusercontent.com/slamech/commerce-sample-data/refs/heads/main/images/HPC-6006.jpg ,https://raw.githubusercontent.com/slamech/commerce-sample-data/refs/heads/main/images/HPC-6006.jpg ,https://raw.githubusercontent.com/slamech/commerce-sample-data/refs/heads/main/images/HPC-6006.jpg ,,https://raw.githubusercontent.com/slamech/commerce-sample-data/refs/heads/main/images/HPC-6006.jpg ,40,0,1,0,0,1,1,1,10000,1,1,1,1,1,1,1,1,1,0,0,0,,,,"max_pressure=350bar,flow_capacity=60LPM,control_type=proportional,input_signal=0-10V,port_size=SAE8",hydraulic-pressure-control
ITC-7007,simple,Default,base,Industrial Temperature Controller,Programmable temperature controller with multi-zone capability. Features PID control algorithm and auto-tuning for precise temperature regulation. Includes multiple sensor inputs and alarm functionality.,Programmable multi-zone temperature controller,0.75,1,Industrial Parts/Control Systems,182.5,169.95,"Catalog, Search",Taxable Goods,Omron,Black,Industrial Temperature Controller | Control Systems,"temperature controller, PID, industrial",Programmable temperature controller with multi-zone capability and precise PID control,https://raw.githubusercontent.com/slamech/commerce-sample-data/refs/heads/main/images/ITC-7007.jpg ,https://raw.githubusercontent.com/slamech/commerce-sample-data/refs/heads/main/images/ITC-7007.jpg ,https://raw.githubusercontent.com/slamech/commerce-sample-data/refs/heads/main/images/ITC-7007.jpg ,,https://raw.githubusercontent.com/slamech/commerce-sample-data/refs/heads/main/images/ITC-7007.jpg ,60,0,1,0,0,1,1,1,10000,1,1,1,1,1,1,1,1,1,0,0,0,,,,"input_type=thermocouple|RTD,control_algorithm=PID,display=dual_LED,communication=RS485,mounting=DIN_rail",industrial-temperature-controller
PLF-8008,simple,Default,base,Precision Linear Bearing,"High-precision linear bearing system for industrial motion applications. Features hardened steel raceways and precision ball elements for smooth, low-friction movement. Includes mounting holes for easy installation.",Precision linear bearing for industrial motion systems,2.1,1,Industrial Parts/Mechanical Components,94.99,89.99,"Catalog, Search",Taxable Goods,THK,Silver,Precision Linear Bearing | Mechanical Components,"linear bearing, motion control, precision",High-precision linear bearing with hardened steel raceways for smooth industrial motion control,https://raw.githubusercontent.com/slamech/commerce-sample-data/refs/heads/main/images/PLF-8008.jpg ,https://raw.githubusercontent.com/slamech/commerce-sample-data/refs/heads/main/images/PLF-8008.jpg ,https://raw.githubusercontent.com/slamech/commerce-sample-data/refs/heads/main/images/PLF-8008.jpg ,,https://raw.githubusercontent.com/slamech/commerce-sample-data/refs/heads/main/images/PLF-8008.jpg ,75,0,1,0,0,1,1,1,10000,1,1,1,1,1,1,1,1,1,0,0,0,,,,"shaft_diameter=20mm,length=60mm,dynamic_load=1800N,static_load=2500N,material=chrome_steel",precision-linear-bearing
IPS-9009,simple,Default,base,Industrial Power Supply,Heavy-duty industrial power supply with wide input voltage range. Features short-circuit and overload protection for reliable operation in harsh environments. DIN rail mountable for easy installation in control cabinets.,Heavy-duty industrial DIN rail power supply,1.45,1,Industrial Parts/Electrical Components,129.99,119.95,"Catalog, Search",Taxable Goods,Phoenix Contact,Gray,Industrial Power Supply | Electrical Components,"power supply, industrial, DIN rail",Heavy-duty industrial power supply with protection features for reliable operation in harsh environments,https://raw.githubusercontent.com/slamech/commerce-sample-data/refs/heads/main/images/IPS-9009.jpg ,https://raw.githubusercontent.com/slamech/commerce-sample-data/refs/heads/main/images/IPS-9009.jpg ,https://raw.githubusercontent.com/slamech/commerce-sample-data/refs/heads/main/images/IPS-9009.jpg ,,https://raw.githubusercontent.com/slamech/commerce-sample-data/refs/heads/main/images/IPS-9009.jpg ,90,0,1,0,0,1,1,1,10000,1,1,1,1,1,1,1,1,1,0,0,0,,,,"input_voltage=85-264VAC,output_voltage=24VDC,output_current=10A,efficiency=94percent,protection=OVP|OCP|SCP",industrial-power-supply
PFS-1010,simple,Default,base,Pneumatic Filter System,"Industrial-grade compressed air filter system with multi-stage filtration. Features automatic drain and pressure gauge. Removes water, oil, and particulate contaminants for clean air delivery to pneumatic systems.",Multi-stage pneumatic air filter system,2.8,1,Industrial Parts/Pneumatic Components,135.5,125.99,"Catalog, Search",Taxable Goods,Festo,Blue,Pneumatic Filter System | Pneumatic Components,"air filter, pneumatic, compressed air",Industrial-grade multi-stage compressed air filter system for clean air delivery to pneumatic systems,https://raw.githubusercontent.com/slamech/commerce-sample-data/refs/heads/main/images/PFS-1010.jpg ,https://raw.githubusercontent.com/slamech/commerce-sample-data/refs/heads/main/images/PFS-1010.jpg ,https://raw.githubusercontent.com/slamech/commerce-sample-data/refs/heads/main/images/PFS-1010.jpg ,,https://raw.githubusercontent.com/slamech/commerce-sample-data/refs/heads/main/images/PFS-1010.jpg ,55,0,1,0,0,1,1,1,10000,1,1,1,1,1,1,1,1,1,0,0,0,,,,"port_size=3/8inch,filtration=5micron,max_pressure=175PSI,bowl_material=metal,drain_type=auto",pneumatic-filter-system
SSR-1111,simple,Default,base,Solid State Relay,"Industrial solid state relay for high-frequency switching applications. Features zero-crossing switching and integrated heatsink for improved thermal management. Ideal for controlling heaters, motors and industrial equipment.",Industrial solid state relay with integrated heatsink,0.95,1,Industrial Parts/Electrical Components,42.99,39.95,"Catalog, Search",Taxable Goods,Crydom,Black,Solid State Relay | Electrical Components,"solid state relay, SSR, industrial control",Industrial solid state relay with zero-crossing switching for high-frequency control applications,https://raw.githubusercontent.com/slamech/commerce-sample-data/refs/heads/main/images/SSR-1111.jpg ,https://raw.githubusercontent.com/slamech/commerce-sample-data/refs/heads/main/images/SSR-1111.jpg ,https://raw.githubusercontent.com/slamech/commerce-sample-data/refs/heads/main/images/SSR-1111.jpg ,,https://raw.githubusercontent.com/slamech/commerce-sample-data/refs/heads/main/images/SSR-1111.jpg ,120,0,1,0,0,1,1,1,10000,1,1,1,1,1,1,1,1,1,0,0,0,,,,"load_voltage=240VAC,control_voltage=3-32VDC,current_rating=40A,switching=zero_crossing,mounting=panel",solid-state-relay
IPT-1212,simple,Default,base,Industrial Pressure Transmitter,"High-accuracy pressure transmitter for industrial process control. Features stainless steel construction and 4-20mA output signal. Suitable for monitoring pressure in various media including gases, steam, and liquids.",High-accuracy industrial pressure transmitter,0.55,1,Industrial Parts/Sensors,175.25,165.99,"Catalog, Search",Taxable Goods,Endress+Hauser,Silver,Industrial Pressure Transmitter | Sensors,"pressure transmitter, process control, industrial",High-accuracy pressure transmitter with 4-20mA output for industrial process control applications,https://raw.githubusercontent.com/slamech/commerce-sample-data/refs/heads/main/images/IPT-1212.jpg ,https://raw.githubusercontent.com/slamech/commerce-sample-data/refs/heads/main/images/IPT-1212.jpg ,https://raw.githubusercontent.com/slamech/commerce-sample-data/refs/heads/main/images/IPT-1212.jpg ,,https://raw.githubusercontent.com/slamech/commerce-sample-data/refs/heads/main/images/IPT-1212.jpg ,45,0,1,0,0,1,1,1,10000,1,1,1,1,1,1,1,1,1,0,0,0,,,,"pressure_range=0-10bar,accuracy=0.1percent,output=4-20mA,process_connection=1/2NPT,housing_material=316SS",industrial-pressure-transmitter
SFD-1313,simple,Default,base,Smart Flow Detector,Digital flow meter with integrated data logging capabilities. Features backlit display and multiple output options for integration with control systems. Configurable for various flow ranges and media types.,Digital flow meter with data logging capabilities,1.2,1,Industrial Parts/Sensors,245.99,229.95,"Catalog, Search",Taxable Goods,Keyence,Blue,Smart Flow Detector | Sensors,"flow meter, digital, data logging",Digital flow meter with integrated data logging and control system integration capabilities,https://raw.githubusercontent.com/slamech/commerce-sample-data/refs/heads/main/images/SFD-1313.jpg ,https://raw.githubusercontent.com/slamech/commerce-sample-data/refs/heads/main/images/SFD-1313.jpg ,https://raw.githubusercontent.com/slamech/commerce-sample-data/refs/heads/main/images/SFD-1313.jpg ,,https://raw.githubusercontent.com/slamech/commerce-sample-data/refs/heads/main/images/SFD-1313.jpg ,40,0,1,0,0,1,1,1,10000,1,1,1,1,1,1,1,1,1,0,0,0,,,,"flow_range=5-100LPM,accuracy=1percent,output=4-20mA|pulse|RS485,power=24VDC,display=LCD",smart-flow-detector
PHR-1414,simple,Default,base,Precision Hydraulic Regulator,Advanced hydraulic pressure regulator with precision control capabilities. Features fine adjustment knob and built-in pressure gauge. Constructed from high-grade materials for long service life in demanding applications.,Precision hydraulic pressure regulator,2.35,1,Industrial Parts/Hydraulic Components,185.5,174.99,"Catalog, Search",Taxable Goods,Parker,Red,Precision Hydraulic Regulator | Hydraulic Components,"hydraulic regulator, pressure control, precision",Advanced hydraulic pressure regulator with precision control for demanding industrial applications,https://raw.githubusercontent.com/slamech/commerce-sample-data/refs/heads/main/images/PHR-1414.jpg ,https://raw.githubusercontent.com/slamech/commerce-sample-data/refs/heads/main/images/PHR-1414.jpg ,https://raw.githubusercontent.com/slamech/commerce-sample-data/refs/heads/main/images/PHR-1414.jpg ,,https://raw.githubusercontent.com/slamech/commerce-sample-data/refs/heads/main/images/PHR-1414.jpg ,35,0,1,0,0,1,1,1,10000,1,1,1,1,1,1,1,1,1,0,0,0,,,,"pressure_range=0-350bar,adjustment=manual|fine,port_size=SAE10,body_material=zinc|steel,gauge_included=yes",precision-hydraulic-regulator
ICB-1515,simple,Default,base,Industrial Circuit Breaker,Heavy-duty circuit breaker for industrial power distribution systems. Features adjustable trip settings and high interrupting capacity. Complies with international standards for electrical safety.,Heavy-duty industrial circuit breaker,1.85,1,Industrial Parts/Electrical Components,98.75,92.99,"Catalog, Search",Taxable Goods,Schneider Electric,Black,Industrial Circuit Breaker | Electrical Components,"circuit breaker, industrial, power distribution",Heavy-duty circuit breaker with adjustable trip settings for industrial power distribution systems,https://raw.githubusercontent.com/slamech/commerce-sample-data/refs/heads/main/images/ICB-1515.jpg ,https://raw.githubusercontent.com/slamech/commerce-sample-data/refs/heads/main/images/ICB-1515.jpg ,https://raw.githubusercontent.com/slamech/commerce-sample-data/refs/heads/main/images/ICB-1515.jpg ,,https://raw.githubusercontent.com/slamech/commerce-sample-data/refs/heads/main/images/ICB-1515.jpg ,70,0,1,0,0,1,1,1,10000,1,1,1,1,1,1,1,1,1,0,0,0,,,,"current_rating=50A,poles=3,interrupting_capacity=35kA,mounting=DIN_rail,trip_type=thermal-magnetic",industrial-circuit-breaker
PMB-1616,simple,Default,base,Precision Mounted Bearing,Heavy-duty mounted ball bearing for industrial power transmission applications. Features cast iron housing and premium steel bearings. Pre-lubricated and sealed for maintenance-free operation.,Heavy-duty mounted ball bearing,3.6,1,Industrial Parts/Mechanical Components,69.95,65.99,"Catalog, Search",Taxable Goods,SKF,Gray,Precision Mounted Bearing | Mechanical Components,"mounted bearing, pillow block, industrial",Heavy-duty mounted ball bearing with cast iron housing for industrial power transmission applications,https://raw.githubusercontent.com/slamech/commerce-sample-data/refs/heads/main/images/PMB-1616.jpg ,https://raw.githubusercontent.com/slamech/commerce-sample-data/refs/heads/main/images/PMB-1616.jpg ,https://raw.githubusercontent.com/slamech/commerce-sample-data/refs/heads/main/images/PMB-1616.jpg ,,https://raw.githubusercontent.com/slamech/commerce-sample-data/refs/heads/main/images/PMB-1616.jpg ,85,0,1,0,0,1,1,1,10000,1,1,1,1,1,1,1,1,1,0,0,0,,,,"bearing_type=ball,shaft_diameter=1inch,housing_type=pillow_block,sealing=double_lip,lubrication=grease",precision-mounted-bearing
IAV-1717,simple,Default,base,Industrial Actuated Valve,"Electrically actuated ball valve for automated flow control systems. Features modulating control capability and position feedback. Stainless steel valve body suitable for various media including water, chemicals, and steam.",Electrically actuated ball valve for automated systems,4.2,1,Industrial Parts/Valves,395.5,379.99,"Catalog, Search",Taxable Goods,Belimo,Silver,Industrial Actuated Valve | Valves,"actuated valve, ball valve, automated control",Electrically actuated ball valve with modulating control for automated industrial flow systems,https://raw.githubusercontent.com/slamech/commerce-sample-data/refs/heads/main/images/IAV-1717.jpg ,https://raw.githubusercontent.com/slamech/commerce-sample-data/refs/heads/main/images/IAV-1717.jpg ,https://raw.githubusercontent.com/slamech/commerce-sample-data/refs/heads/main/images/IAV-1717.jpg ,,https://raw.githubusercontent.com/slamech/commerce-sample-data/refs/heads/main/images/IAV-1717.jpg ,30,0,1,0,0,1,1,1,10000,1,1,1,1,1,1,1,1,1,0,0,0,,,,"valve_size=1inch,pressure_rating=16bar,actuator_type=electric,control_signal=0-10V|4-20mA,valve_material=316SS",industrial-actuated-valve
ILC-1818,simple,Default,base,Industrial Logic Controller,Compact programmable logic controller for industrial automation systems. Features multiple I/O points and various communication protocols. Includes programming software and mounting hardware.,Compact PLC for industrial automation,0.85,1,Industrial Parts/Control Systems,275.99,259.95,"Catalog, Search",Taxable Goods,Siemens,Gray,Industrial Logic Controller | Control Systems,"PLC, automation, logic controller",Compact programmable logic controller with multiple I/O points for industrial automation systems,https://raw.githubusercontent.com/slamech/commerce-sample-data/refs/heads/main/images/ILC-1818.jpg ,https://raw.githubusercontent.com/slamech/commerce-sample-data/refs/heads/main/images/ILC-1818.jpg ,https://raw.githubusercontent.com/slamech/commerce-sample-data/refs/heads/main/images/ILC-1818.jpg ,,https://raw.githubusercontent.com/slamech/commerce-sample-data/refs/heads/main/images/ILC-1818.jpg ,25,0,1,0,0,1,1,1,10000,1,1,1,1,1,1,1,1,1,0,0,0,,,,"digital_inputs=14,digital_outputs=10,analog_IO=4,communication=ethernet|RS485|modbus,programming=ladder|FBD",industrial-logic-controller
SEF-1919,simple,Default,base,Smart Encoder Feedback,High-resolution rotary encoder with advanced feedback capabilities. Features multiple output formats and programmable parameters. Ideal for motion control systems requiring precise position feedback.,High-resolution rotary encoder for motion control,0.45,1,Industrial Parts/Sensors,195.75,185.99,"Catalog, Search",Taxable Goods,SICK,Black,Smart Encoder Feedback | Sensors,"encoder, rotary, position feedback",High-resolution rotary encoder with multiple output formats for precise motion control feedback,https://raw.githubusercontent.com/slamech/commerce-sample-data/refs/heads/main/images/SEF-1919.jpg ,https://raw.githubusercontent.com/slamech/commerce-sample-data/refs/heads/main/images/SEF-1919.jpg ,https://raw.githubusercontent.com/slamech/commerce-sample-data/refs/heads/main/images/SEF-1919.jpg ,,https://raw.githubusercontent.com/slamech/commerce-sample-data/refs/heads/main/images/SEF-1919.jpg ,40,0,1,0,0,1,1,1,10000,1,1,1,1,1,1,1,1,1,0,0,0,,,,"resolution=4096PPR,output=incremental|SSI,shaft_diameter=10mm,protection=IP65,operating_voltage=10-30VDC",smart-encoder-feedback
HCC-2020,simple,Default,base,Heavy-Duty Conveyor Chain,Industrial-grade roller chain for conveyor systems. Features hardened steel construction for wear resistance and high tensile strength. Includes connecting links for easy installation and maintenance.,Industrial-grade roller chain for conveyors,7.5,1,Industrial Parts/Mechanical Components,145.25,135.99,"Catalog, Search",Taxable Goods,Tsubaki,Silver,Heavy-Duty Conveyor Chain | Mechanical Components,"conveyor chain, roller chain, industrial",Industrial-grade hardened steel roller chain with high tensile strength for conveyor systems,https://raw.githubusercontent.com/slamech/commerce-sample-data/refs/heads/main/images/HCC-2020.jpg ,https://raw.githubusercontent.com/slamech/commerce-sample-data/refs/heads/main/images/HCC-2020.jpg ,https://raw.githubusercontent.com/slamech/commerce-sample-data/refs/heads/main/images/HCC-2020.jpg ,,https://raw.githubusercontent.com/slamech/commerce-sample-data/refs/heads/main/images/HCC-2020.jpg ,60,0,1,0,0,1,1,1,10000,1,1,1,1,1,1,1,1,1,0,0,0,,,,"pitch=1.5inch,width=1inch,tensile_strength=18000lbs,material=alloy_steel,links=10feet",heavy-duty-conveyor-chain
VSD-2121,simple,Default,base,Variable Speed Drive,Advanced variable frequency drive for industrial motor control. Features vector control algorithm and multiple programming modes. Includes comprehensive protection functions and diagnostic display.,Advanced VFD for industrial motor control,5.8,1,Industrial Parts/Electrical Components,575.99,549.95,"Catalog, Search",Taxable Goods,ABB,Blue,Variable Speed Drive | Electrical Components,"VFD, variable frequency drive, motor control",Advanced variable frequency drive with vector control for precise industrial motor speed regulation,https://raw.githubusercontent.com/slamech/commerce-sample-data/refs/heads/main/images/VSD-2121.jpg ,https://raw.githubusercontent.com/slamech/commerce-sample-data/refs/heads/main/images/VSD-2121.jpg ,https://raw.githubusercontent.com/slamech/commerce-sample-data/refs/heads/main/images/VSD-2121.jpg ,,https://raw.githubusercontent.com/slamech/commerce-sample-data/refs/heads/main/images/VSD-2121.jpg ,20,0,1,0,0,1,1,1,10000,1,1,1,1,1,1,1,1,1,0,0,0,,,,"power_rating=5HP,input_voltage=380-480VAC,control_mode=V/F|vector,protection=overload|overvoltage|thermal,communications=modbus",variable-speed-drive
ISP-2222,simple,Default,base,Industrial Servo Positioning,High-performance servo positioning system for precision motion control. Features closed-loop control and encoder feedback. Includes servo drive controller and cables for complete system setup.,High-performance servo positioning system,4.5,1,Industrial Parts/Motion Control,845.5,799.99,"Catalog, Search",Taxable Goods,Yaskawa,Silver,Industrial Servo Positioning | Motion Control,"servo, positioning, motion control",High-performance servo positioning system with closed-loop control for precision industrial motion,https://raw.githubusercontent.com/slamech/commerce-sample-data/refs/heads/main/images/ISP-2222.jpg ,https://raw.githubusercontent.com/slamech/commerce-sample-data/refs/heads/main/images/ISP-2222.jpg ,https://raw.githubusercontent.com/slamech/commerce-sample-data/refs/heads/main/images/ISP-2222.jpg ,,https://raw.githubusercontent.com/slamech/commerce-sample-data/refs/heads/main/images/ISP-2222.jpg ,15,0,1,0,0,1,1,1,10000,1,1,1,1,1,1,1,1,1,0,0,0,,,,"power=750W,voltage=220VAC,feedback=20-bit_encoder,interface=EtherCAT|pulse,torque=2.4Nm",industrial-servo-positioning
PRC-2323,simple,Default,base,Precision Roller Conveyor,Modular roller conveyor section for industrial material handling. Features precision bearings and adjustable height supports. Includes end stops and joining hardware for system expansion.,Modular industrial roller conveyor section,18.5,1,Industrial Parts/Material Handling,295.75,279.99,"Catalog, Search",Taxable Goods,Interroll,Gray,Precision Roller Conveyor | Material Handling,"roller conveyor, material handling, modular",Modular roller conveyor section with precision bearings for industrial material handling systems,https://raw.githubusercontent.com/slamech/commerce-sample-data/refs/heads/main/images/PRC-2323.jpg ,https://raw.githubusercontent.com/slamech/commerce-sample-data/refs/heads/main/images/PRC-2323.jpg ,https://raw.githubusercontent.com/slamech/commerce-sample-data/refs/heads/main/images/PRC-2323.jpg ,,https://raw.githubusercontent.com/slamech/commerce-sample-data/refs/heads/main/images/PRC-2323.jpg ,10,0,1,0,0,1,1,1,10000,1,1,1,1,1,1,1,1,1,0,0,0,,,,"width=24inch,length=10feet,roller_diameter=1.9inch,capacity=100lbs_per_foot,height_adjustment=30-36inch",precision-roller-conveyor
INS-2424,simple,Default,base,Industrial Network Switch,Rugged industrial Ethernet switch for factory automation networks. Features managed switching and redundant power inputs. DIN rail mountable with wide operating temperature range for harsh environments.,Rugged managed Ethernet switch for industrial networks,1.2,1,Industrial Parts/Networking,325.5,309.99,"Catalog, Search",Taxable Goods,Hirschmann,Black,Industrial Network Switch | Networking,"Ethernet switch, industrial, managed",Rugged industrial managed Ethernet switch for reliable factory automation networking,https://raw.githubusercontent.com/slamech/commerce-sample-data/refs/heads/main/images/INS-2424.jpg ,https://raw.githubusercontent.com/slamech/commerce-sample-data/refs/heads/main/images/INS-2424.jpg ,https://raw.githubusercontent.com/slamech/commerce-sample-data/refs/heads/main/images/INS-2424.jpg ,,https://raw.githubusercontent.com/slamech/commerce-sample-data/refs/heads/main/images/INS-2424.jpg ,30,0,1,0,0,1,1,1,10000,1,1,1,1,1,1,1,1,1,0,0,0,,,,"ports=8|RJ45,management=web|SNMP,redundancy=ring,power=24VDC|redundant,temperature=-40to+70C",industrial-network-switch
